Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
FOXA2,ENSG00000125798,Q9Y261,FOXA2_HUMAN.H11MO.0.A,FOXA2_HUMAN.HepG2.sem,0.518322519,HepG2,ENCFF112HWT,ENCFF897NME
FOXA2,ENSG00000125798,Q9Y261,FOXA2_HUMAN.H11MO.0.A,FOXA2_HUMAN.liver.sem,0.226631238,liver,ENCFF037NAU,ENCFF933OGA
FOXA3,ENSG00000170608,P55318,FOXA3_HUMAN.H11MO.0.B,FOXA3_HUMAN.HepG2.sem,0.514835813,HepG2,ENCFF781OLA,ENCFF897NME
FOXA3,ENSG00000170608,P55318,FOXA3_HUMAN.H11MO.0.B,FOXA3_HUMAN.K562.sem,0.318269511,K562,ENCFF749DZX,ENCFF274YGF
FOXC1,ENSG00000054598,Q12948,FOXC1_HUMAN.H11MO.0.C,FOXC1_HUMAN.HepG2.sem,0.650964246,HepG2,ENCFF279ZZH,ENCFF897NME
FOXJ2,ENSG00000065970,Q9P0K8,FOXJ2_HUMAN.H11MO.0.C,FOXJ2_HUMAN.K562.sem,0.528945649,K562,ENCFF551HEY,ENCFF274YGF
FOXJ3,ENSG00000198815,Q9UPW0,FOXJ3_HUMAN.H11MO.0.A,FOXJ3_HUMAN.HepG2.sem,0.643919893,HepG2,ENCFF133RIG,ENCFF897NME
FOXJ3,ENSG00000198815,Q9UPW0,FOXJ3_HUMAN.H11MO.0.A,FOXJ3_HUMAN.K562.sem,0.493737937,K562,ENCFF600TDS,ENCFF274YGF
FOXJ3,ENSG00000198815,Q9UPW0,FOXJ3_HUMAN.H11MO.0.A,FOXJ3_HUMAN.WTC11.sem,0.709699572,WTC11,ENCFF510SLA,ENCFF854DSG
FOXK1,ENSG00000164916,P85037,FOXK1_HUMAN.H11MO.0.A,FOXK1_HUMAN.HepG2.sem,0.553880703,HepG2,ENCFF911YRM,ENCFF897NME
FOXK1,ENSG00000164916,P85037,FOXK1_HUMAN.H11MO.0.A,FOXK1_HUMAN.K562.sem,0.687560287,K562,ENCFF825WQV,ENCFF274YGF
FOXK1,ENSG00000164916,P85037,FOXK1_HUMAN.H11MO.0.A,FOXK1_HUMAN.WTC11.sem,0.537485715,WTC11,ENCFF684GVQ,ENCFF854DSG
FOXM1,ENSG00000111206,Q08050,FOXM1_HUMAN.H11MO.0.A,FOXM1_HUMAN.HepG2.sem,0.616337293,HepG2,ENCFF780EXO,ENCFF897NME
FOXM1,ENSG00000111206,Q08050,FOXM1_HUMAN.H11MO.0.A,FOXM1_HUMAN.K562.sem,0.656302461,K562,ENCFF921LSI,ENCFF274YGF
FOXO1,ENSG00000150907,Q12778,FOXO1_HUMAN.H11MO.0.A,FOXO1_HUMAN.HepG2.sem,0.591397131,HepG2,ENCFF672VQC,ENCFF897NME
FOXP1,ENSG00000114861,Q9H334,FOXP1_HUMAN.H11MO.0.A,FOXP1_HUMAN.HepG2.sem,0.508815384,HepG2,ENCFF181RZM,ENCFF897NME
FOXP1,ENSG00000114861,Q9H334,FOXP1_HUMAN.H11MO.0.A,FOXP1_HUMAN.WTC11.sem,0.728282989,WTC11,ENCFF125WCE,ENCFF854DSG
FOXP2,ENSG00000128573,O15409,FOXP2_HUMAN.H11MO.0.C,FOXP2_HUMAN.SK-N-MC.sem,0.724689181,SK-N-MC,ENCFF996PHG,ENCFF054KLI
FOXQ1,ENSG00000164379,Q9C009,FOXQ1_HUMAN.H11MO.0.C,FOXQ1_HUMAN.HepG2.sem,0.587777614,HepG2,ENCFF309HRS,ENCFF897NME
GABPA,ENSG00000154727,Q06546,GABPA_HUMAN.H11MO.0.A,GABPA_HUMAN.GM12878.sem,0.189862127,GM12878,ENCFF433TLK,ENCFF759OLD
GABPA,ENSG00000154727,Q06546,GABPA_HUMAN.H11MO.0.A,GABPA_HUMAN.HepG2.sem,0.182982931,HepG2,ENCFF350ZVL,ENCFF897NME
GABPA,ENSG00000154727,Q06546,GABPA_HUMAN.H11MO.0.A,GABPA_HUMAN.K562.sem,0.199103381,K562,ENCFF009TCA,ENCFF274YGF
GATA3,ENSG00000107485,P23771,GATA3_HUMAN.H11MO.0.A,GATA3_HUMAN.A549.sem,0.591157406,A549,ENCFF485KDU,ENCFF128ZVL
GATA3,ENSG00000107485,P23771,GATA3_HUMAN.H11MO.0.A,GATA3_HUMAN.MCF-7.sem,0.532377034,MCF-7,ENCFF668UPC,ENCFF835KCG
GATA4,ENSG00000136574,P43694,GATA4_HUMAN.H11MO.0.A,GATA4_HUMAN.HepG2.sem,0.464181567,HepG2,ENCFF206MPL,ENCFF897NME
NR3C1,ENSG00000113580,P04150,GCR_HUMAN.H11MO.0.A,GCR_HUMAN.HepG2.sem,0.715870293,HepG2,ENCFF920TXR,ENCFF897NME
NR3C1,ENSG00000113580,P04150,GCR_HUMAN.H11MO.0.A,GCR_HUMAN.WTC11.sem,0.827560648,WTC11,ENCFF686WQV,ENCFF854DSG
GFI1B,ENSG00000165702,Q5VTD9,GFI1B_HUMAN.H11MO.0.A,GFI1B_HUMAN.HEK293.sem,0.525240215,HEK293,ENCFF037HOD,ENCFF285OXK
GFI1,ENSG00000162676,Q99684,GFI1_HUMAN.H11MO.0.C,GFI1_HUMAN.HepG2.sem,0.54092027,HepG2,ENCFF560WOT,ENCFF897NME
GRHL2,ENSG00000083307,Q6ISB3,GRHL2_HUMAN.H11MO.0.A,GRHL2_HUMAN.WTC11.sem,0.706300586,WTC11,ENCFF922BYR,ENCFF854DSG
HINFP,ENSG00000172273,Q9BQA5,HINFP_HUMAN.H11MO.0.C,HINFP_HUMAN.HepG2.sem,0.565812829,HepG2,ENCFF474WEH,ENCFF897NME
HLF,ENSG00000108924,Q16534,HLF_HUMAN.H11MO.0.C,HLF_HUMAN.HepG2.sem,0.14337708,HepG2,ENCFF188IGL,ENCFF897NME
HNF1A,ENSG00000135100,P20823,HNF1A_HUMAN.H11MO.0.C,HNF1A_HUMAN.HepG2.sem,0.307481451,HepG2,ENCFF502ACF,ENCFF897NME
HNF1B,ENSG00000275410,P35680,HNF1B_HUMAN.H11MO.0.A,HNF1B_HUMAN.HepG2.sem,0.477447836,HepG2,ENCFF965HDD,ENCFF897NME
HNF4A,ENSG00000101076,P41235,HNF4A_HUMAN.H11MO.0.A,HNF4A_HUMAN.HepG2.sem,0.420549978,HepG2,ENCFF467SMI,ENCFF897NME
HNF4A,ENSG00000101076,P41235,HNF4A_HUMAN.H11MO.0.A,HNF4A_HUMAN.liver.sem,0.298949014,liver,ENCFF531OYO,ENCFF933OGA
HNF4G,ENSG00000164749,Q14541,HNF4G_HUMAN.H11MO.0.B,HNF4G_HUMAN.HepG2.sem,0.400004136,HepG2,ENCFF035TZA,ENCFF897NME
HNF4G,ENSG00000164749,Q14541,HNF4G_HUMAN.H11MO.0.B,HNF4G_HUMAN.liver.sem,0.298969051,liver,ENCFF806RAV,ENCFF933OGA
ONECUT1,ENSG00000169856,Q9UBC0,HNF6_HUMAN.H11MO.0.B,HNF6_HUMAN.HepG2.sem,0.101955291,HepG2,ENCFF756PHT,ENCFF897NME
HSF1,ENSG00000185122,Q00613,HSF1_HUMAN.H11MO.0.A,HSF1_HUMAN.GM12878.sem,0.388780025,GM12878,ENCFF627JOG,ENCFF759OLD
HSF2,ENSG00000025156,Q03933,HSF2_HUMAN.H11MO.0.A,HSF2_HUMAN.HepG2.sem,0.292591851,HepG2,ENCFF798USX,ENCFF897NME
TCF12,ENSG00000140262,Q99081,HTF4_HUMAN.H11MO.0.A,HTF4_HUMAN.GM12878.sem,0.380766076,GM12878,ENCFF429EUS,ENCFF759OLD
TCF12,ENSG00000140262,Q99081,HTF4_HUMAN.H11MO.0.A,HTF4_HUMAN.K562.sem,0.307011016,K562,ENCFF920OCE,ENCFF274YGF
HOXA10,ENSG00000253293,P31260,HXA10_HUMAN.H11MO.0.C,HXA10_HUMAN.HepG2.sem,0.62413172,HepG2,ENCFF627VPD,ENCFF897NME
HOXA9,ENSG00000078399,P31269,HXA9_HUMAN.H11MO.0.B,HXA9_HUMAN.HepG2.sem,0.630518787,HepG2,ENCFF550LST,ENCFF897NME
HOXB7,ENSG00000260027,P09629,HXB7_HUMAN.H11MO.0.C,HXB7_HUMAN.HEK293.sem,0.724411608,HEK293,ENCFF887BAN,ENCFF285OXK
IKZF1,ENSG00000185811,Q13422,IKZF1_HUMAN.H11MO.0.C,IKZF1_HUMAN.GM12878.sem,0.758908278,GM12878,ENCFF012ZPU,ENCFF759OLD
IRF9,ENSG00000213928,Q00978,IRF9_HUMAN.H11MO.0.C,IRF9_HUMAN.HepG2.sem,0.691046711,HepG2,ENCFF351RRJ,ENCFF897NME
IRF9,ENSG00000213928,Q00978,IRF9_HUMAN.H11MO.0.C,IRF9_HUMAN.K562.sem,0.241961826,K562,ENCFF551KHO,ENCFF274YGF
TCF4,ENSG00000196628,P15884,ITF2_HUMAN.H11MO.0.C,ITF2_HUMAN.SK-N-SH.sem,0.62552488,SK-N-SH,ENCFF667SYW,ENCFF752OZB
JUNB,ENSG00000171223,P17275,JUNB_HUMAN.H11MO.0.A,JUNB_HUMAN.GM12878.sem,0.446625162,GM12878,ENCFF965NQQ,ENCFF759OLD
JUNB,ENSG00000171223,P17275,JUNB_HUMAN.H11MO.0.A,JUNB_HUMAN.HepG2.sem,0.396831025,HepG2,ENCFF512IOM,ENCFF897NME
JUNB,ENSG00000171223,P17275,JUNB_HUMAN.H11MO.0.A,JUNB_HUMAN.K562.sem,0.28104125,K562,ENCFF114SLT,ENCFF274YGF
JUND,ENSG00000130522,P17535,JUND_HUMAN.H11MO.0.A,JUND_HUMAN.GM12878.sem,0.43622685,GM12878,ENCFF948QYK,ENCFF759OLD
JUND,ENSG00000130522,P17535,JUND_HUMAN.H11MO.0.A,JUND_HUMAN.HepG2.sem,0.316410017,HepG2,ENCFF953VNU,ENCFF897NME
JUND,ENSG00000130522,P17535,JUND_HUMAN.H11MO.0.A,JUND_HUMAN.K562.sem,0.322207321,K562,ENCFF896RLT,ENCFF274YGF
JUN,ENSG00000177606,P05412,JUN_HUMAN.H11MO.0.A,JUN_HUMAN.HepG2.sem,0.370343157,HepG2,ENCFF732BEG,ENCFF897NME
JUN,ENSG00000177606,P05412,JUN_HUMAN.H11MO.0.A,JUN_HUMAN.K562.sem,0.688989402,K562,ENCFF220RDW,ENCFF274YGF
JUN,ENSG00000177606,P05412,JUN_HUMAN.H11MO.0.A,JUN_HUMAN.MCF-7.sem,0.365702238,MCF-7,ENCFF730TVS,ENCFF835KCG
ZBTB33,ENSG00000177485,Q86T24,KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.GM12878.sem,0.048174597,GM12878,ENCFF960CUQ,ENCFF759OLD
ZBTB33,ENSG00000177485,Q86T24,KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.HepG2.sem,0.033112154,HepG2,ENCFF250ZSB,ENCFF897NME
ZBTB33,ENSG00000177485,Q86T24,KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.K562.sem,0.604332364,K562,ENCFF173FZK,ENCFF274YGF
KLF12,ENSG00000118922,Q9Y4X4,KLF12_HUMAN.H11MO.0.C,KLF12_HUMAN.HepG2.sem,0.852652217,HepG2,ENCFF208IQI,ENCFF897NME
KLF1,ENSG00000105610,Q13351,KLF1_HUMAN.H11MO.0.A,KLF1_HUMAN.HEK293.sem,0.535548958,HEK293,ENCFF364FQL,ENCFF285OXK
KLF1,ENSG00000105610,Q13351,KLF1_HUMAN.H11MO.0.A,KLF1_HUMAN.K562.sem,0.62977961,K562,ENCFF373JER,ENCFF274YGF
KLF5,ENSG00000102554,Q13887,KLF5_HUMAN.H11MO.0.A,KLF5_HUMAN.GM12878.sem,0.303363766,GM12878,ENCFF168RBB,ENCFF759OLD
KLF8,ENSG00000102349,O95600,KLF8_HUMAN.H11MO.0.C,KLF8_HUMAN.HEK293.sem,0.666633362,HEK293,ENCFF899RPV,ENCFF285OXK
KLF9,ENSG00000119138,Q13886,KLF9_HUMAN.H11MO.0.C,KLF9_HUMAN.HEK293.sem,0.554691727,HEK293,ENCFF651WTD,ENCFF285OXK
KLF9,ENSG00000119138,Q13886,KLF9_HUMAN.H11MO.0.C,KLF9_HUMAN.HepG2.sem,0.808679385,HepG2,ENCFF822RNI,ENCFF897NME
LEF1,ENSG00000138795,Q9UJU2,LEF1_HUMAN.H11MO.0.A,LEF1_HUMAN.K562.sem,0.498372074,K562,ENCFF723UZM,ENCFF274YGF
MAX,ENSG00000125952,P61244,MAX_HUMAN.H11MO.0.A,MAX_HUMAN.GM12878.sem,0.435886735,GM12878,ENCFF167ECI,ENCFF759OLD
MAX,ENSG00000125952,P61244,MAX_HUMAN.H11MO.0.A,MAX_HUMAN.HepG2.sem,0.422418518,HepG2,ENCFF486FEF,ENCFF897NME
MAX,ENSG00000125952,P61244,MAX_HUMAN.H11MO.0.A,MAX_HUMAN.K562.sem,0.358545058,K562,ENCFF568HZU,ENCFF274YGF
MBD2,ENSG00000134046,Q9UBB5,MBD2_HUMAN.H11MO.0.B,MBD2_HUMAN.K562.sem,0.505837752,K562,ENCFF958JOF,ENCFF274YGF
MBD2,ENSG00000134046,Q9UBB5,MBD2_HUMAN.H11MO.0.B,MBD2_HUMAN.MCF-7.sem,0.619550877,MCF-7,ENCFF517UQD,ENCFF835KCG
MEF2A,ENSG00000068305,Q02078,MEF2A_HUMAN.H11MO.0.A,MEF2A_HUMAN.GM12878.sem,0.440615371,GM12878,ENCFF497DHP,ENCFF759OLD
MEF2A,ENSG00000068305,Q02078,MEF2A_HUMAN.H11MO.0.A,MEF2A_HUMAN.HepG2.sem,0.648569798,HepG2,ENCFF773NSM,ENCFF897NME
MEF2A,ENSG00000068305,Q02078,MEF2A_HUMAN.H11MO.0.A,MEF2A_HUMAN.K562.sem,0.239419687,K562,ENCFF124SCF,ENCFF274YGF
MEF2B,ENSG00000213999,Q02080,MEF2B_HUMAN.H11MO.0.A,MEF2B_HUMAN.GM12878.sem,0.634932842,GM12878,ENCFF715JTY,ENCFF759OLD
MEF2B,ENSG00000213999,Q02080,MEF2B_HUMAN.H11MO.0.A,MEF2B_HUMAN.HepG2.sem,0.60902462,HepG2,ENCFF999OHU,ENCFF897NME
MEF2C,ENSG00000081189,Q06413,MEF2C_HUMAN.H11MO.0.A,MEF2C_HUMAN.GM12878.sem,0.383935124,GM12878,ENCFF462AFJ,ENCFF759OLD
MEF2D,ENSG00000116604,Q14814,MEF2D_HUMAN.H11MO.0.A,MEF2D_HUMAN.HepG2.sem,0.512611017,HepG2,ENCFF662EEB,ENCFF897NME
MEF2D,ENSG00000116604,Q14814,MEF2D_HUMAN.H11MO.0.A,MEF2D_HUMAN.K562.sem,0.242157408,K562,ENCFF461WJA,ENCFF274YGF
MEIS1,ENSG00000143995,O00470,MEIS1_HUMAN.H11MO.0.A,MEIS1_HUMAN.HEK293.sem,0.487731357,HEK293,ENCFF716JSQ,ENCFF285OXK
MEIS1,ENSG00000143995,O00470,MEIS1_HUMAN.H11MO.0.A,MEIS1_HUMAN.HepG2.sem,0.689419795,HepG2,ENCFF354HOO,ENCFF897NME
MEIS2,ENSG00000134138,O14770,MEIS2_HUMAN.H11MO.0.B,MEIS2_HUMAN.HepG2.sem,0.855775417,HepG2,ENCFF409ADV,ENCFF897NME
MEIS2,ENSG00000134138,O14770,MEIS2_HUMAN.H11MO.0.B,MEIS2_HUMAN.K562.sem,0.229426421,K562,ENCFF574RND,ENCFF274YGF
MITF,ENSG00000187098,O75030,MITF_HUMAN.H11MO.0.A,MITF_HUMAN.K562.sem,0.075242743,K562,ENCFF273RVE,ENCFF274YGF
MXI1,ENSG00000119950,P50539,MXI1_HUMAN.H11MO.0.A,MXI1_HUMAN.GM12878.sem,0.705358952,GM12878,ENCFF568SNH,ENCFF759OLD
MXI1,ENSG00000119950,P50539,MXI1_HUMAN.H11MO.0.A,MXI1_HUMAN.HepG2.sem,0.661678393,HepG2,ENCFF854ODN,ENCFF897NME
MXI1,ENSG00000119950,P50539,MXI1_HUMAN.H11MO.0.A,MXI1_HUMAN.K562.sem,0.486498514,K562,ENCFF845HTM,ENCFF274YGF
MYB,ENSG00000118513,P10242,MYB_HUMAN.H11MO.0.A,MYB_HUMAN.GM12878.sem,0.359671916,GM12878,ENCFF708UJN,ENCFF759OLD
MYC,ENSG00000136997,P01106,MYC_HUMAN.H11MO.0.A,MYC_HUMAN.GM12878.sem,0.704063349,GM12878,ENCFF829AJS,ENCFF759OLD
MYC,ENSG00000136997,P01106,MYC_HUMAN.H11MO.0.A,MYC_HUMAN.HepG2.sem,0.465142254,HepG2,ENCFF388VAV,ENCFF897NME
MYC,ENSG00000136997,P01106,MYC_HUMAN.H11MO.0.A,MYC_HUMAN.K562.sem,0.409555134,K562,ENCFF140BXD,ENCFF274YGF
MZF1,ENSG00000099326,P28698,MZF1_HUMAN.H11MO.0.B,MZF1_HUMAN.HEK293.sem,0.387679349,HEK293,ENCFF534KWN,ENCFF285OXK
MZF1,ENSG00000099326,P28698,MZF1_HUMAN.H11MO.0.B,MZF1_HUMAN.HepG2.sem,0.810351848,HepG2,ENCFF358DLQ,ENCFF897NME
NEUROD1,ENSG00000162992,Q13562,NDF1_HUMAN.H11MO.0.A,NDF1_HUMAN.K562.sem,0.406315993,K562,ENCFF112BYB,ENCFF274YGF
NFE2L2,ENSG00000116044,Q16236,NF2L2_HUMAN.H11MO.0.A,NF2L2_HUMAN.A549.sem,0.395778894,A549,ENCFF390TMR,ENCFF128ZVL
NFE2L2,ENSG00000116044,Q16236,NF2L2_HUMAN.H11MO.0.A,NF2L2_HUMAN.HeLa-S3.sem,0.527081309,HeLa-S3,ENCFF950XPW,ENCFF049BHH
NFE2L2,ENSG00000116044,Q16236,NF2L2_HUMAN.H11MO.0.A,NF2L2_HUMAN.HepG2.sem,0.311378732,HepG2,ENCFF242DUB,ENCFF897NME
NFATC3,ENSG00000072736,Q12968,NFAC3_HUMAN.H11MO.0.B,NFAC3_HUMAN.GM12878.sem,0.452470946,GM12878,ENCFF179MUG,ENCFF759OLD
