Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
NFATC3,ENSG00000072736,Q12968,NFAC3_HUMAN.H11MO.0.B,NFAC3_HUMAN.HepG2.sem,0.659053815,HepG2,ENCFF347JKL,ENCFF897NME
NFE2,ENSG00000123405,Q16621,NFE2_HUMAN.H11MO.0.A,NFE2_HUMAN.HepG2.sem,0.568912836,HepG2,ENCFF649XPS,ENCFF897NME
NFE2,ENSG00000123405,Q16621,NFE2_HUMAN.H11MO.0.A,NFE2_HUMAN.K562.sem,0.284442838,K562,ENCFF025UPR,ENCFF274YGF
NFIA,ENSG00000162599,Q12857,NFIA_HUMAN.H11MO.0.C,NFIA_HUMAN.HepG2.sem,0.367554085,HepG2,ENCFF653ILK,ENCFF897NME
NFIC,ENSG00000141905,P08651,NFIC_HUMAN.H11MO.0.A,NFIC_HUMAN.GM12878.sem,0.682494237,GM12878,ENCFF128WKR,ENCFF759OLD
NFIC,ENSG00000141905,P08651,NFIC_HUMAN.H11MO.0.A,NFIC_HUMAN.K562.sem,0.242220051,K562,ENCFF836FEQ,ENCFF274YGF
NFYA,ENSG00000001167,P23511,NFYA_HUMAN.H11MO.0.A,NFYA_HUMAN.GM12878.sem,0.135216199,GM12878,ENCFF559MJP,ENCFF759OLD
NFYA,ENSG00000001167,P23511,NFYA_HUMAN.H11MO.0.A,NFYA_HUMAN.HepG2.sem,0.164665078,HepG2,ENCFF760DXT,ENCFF897NME
NFYA,ENSG00000001167,P23511,NFYA_HUMAN.H11MO.0.A,NFYA_HUMAN.K562.sem,0.141728993,K562,ENCFF223WHH,ENCFF274YGF
NFYB,ENSG00000120837,P25208,NFYB_HUMAN.H11MO.0.A,NFYB_HUMAN.GM12878.sem,0.151833517,GM12878,ENCFF225JEM,ENCFF759OLD
NFYB,ENSG00000120837,P25208,NFYB_HUMAN.H11MO.0.A,NFYB_HUMAN.HepG2.sem,0.15052752,HepG2,ENCFF086IWX,ENCFF897NME
NFYB,ENSG00000120837,P25208,NFYB_HUMAN.H11MO.0.A,NFYB_HUMAN.WTC11.sem,0.097992951,WTC11,ENCFF210WGP,ENCFF854DSG
NFYC,ENSG00000066136,Q13952,NFYC_HUMAN.H11MO.0.A,NFYC_HUMAN.HepG2.sem,0.163419828,HepG2,ENCFF679GRM,ENCFF897NME
NKX3-1,ENSG00000167034,Q99801,NKX31_HUMAN.H11MO.0.C,NKX31_HUMAN.HepG2.sem,0.648324347,HepG2,ENCFF127ZER,ENCFF897NME
NR2C1,ENSG00000120798,P13056,NR2C1_HUMAN.H11MO.0.C,NR2C1_HUMAN.GM12878.sem,0.2837768,GM12878,ENCFF986VHR,ENCFF759OLD
NR2C2,ENSG00000177463,P49116,NR2C2_HUMAN.H11MO.0.B,NR2C2_HUMAN.GM12878.sem,0.404499386,GM12878,ENCFF111LSD,ENCFF759OLD
NR2C2,ENSG00000177463,P49116,NR2C2_HUMAN.H11MO.0.B,NR2C2_HUMAN.HepG2.sem,0.270366418,HepG2,ENCFF437LQX,ENCFF897NME
NR2C2,ENSG00000177463,P49116,NR2C2_HUMAN.H11MO.0.B,NR2C2_HUMAN.K562.sem,0.346059706,K562,ENCFF577RYO,ENCFF274YGF
NR5A2,ENSG00000116833,O00482,NR5A2_HUMAN.H11MO.0.B,NR5A2_HUMAN.A549.sem,0.382963819,A549,ENCFF533JML,ENCFF128ZVL
NRF1,ENSG00000106459,Q16656,NRF1_HUMAN.H11MO.0.A,NRF1_HUMAN.GM12878.sem,0.264313343,GM12878,ENCFF050XKK,ENCFF759OLD
NRF1,ENSG00000106459,Q16656,NRF1_HUMAN.H11MO.0.A,NRF1_HUMAN.HepG2.sem,0.182225399,HepG2,ENCFF147ECH,ENCFF897NME
NRF1,ENSG00000106459,Q16656,NRF1_HUMAN.H11MO.0.A,NRF1_HUMAN.K562.sem,0.117300704,K562,ENCFF021HPB,ENCFF274YGF
OSR2,ENSG00000164920,Q8N2R0,OSR2_HUMAN.H11MO.0.C,OSR2_HUMAN.HEK293.sem,0.522581492,HEK293,ENCFF330FXV,ENCFF285OXK
OTX2,ENSG00000165588,P32243,OTX2_HUMAN.H11MO.0.A,OTX2_HUMAN.WTC11.sem,0.272252769,WTC11,ENCFF049TPN,ENCFF854DSG
OVOL1,ENSG00000172818,O14753,OVOL1_HUMAN.H11MO.0.C,OVOL1_HUMAN.MCF-7.sem,0.144229155,MCF-7,ENCFF581QQL,ENCFF835KCG
PBX1,ENSG00000185630,P40424,PBX1_HUMAN.H11MO.0.A,PBX1_HUMAN.A549.sem,0.157114648,A549,ENCFF196AGH,ENCFF128ZVL
PBX2,ENSG00000204304,P40425,PBX2_HUMAN.H11MO.0.C,PBX2_HUMAN.HepG2.sem,0.198663829,HepG2,ENCFF706JVZ,ENCFF897NME
PBX2,ENSG00000204304,P40425,PBX2_HUMAN.H11MO.0.C,PBX2_HUMAN.K562.sem,0.243916583,K562,ENCFF134CAX,ENCFF274YGF
PBX3,ENSG00000167081,P40426,PBX3_HUMAN.H11MO.0.A,PBX3_HUMAN.GM12878.sem,0.272668944,GM12878,ENCFF480ZQT,ENCFF759OLD
PBX3,ENSG00000167081,P40426,PBX3_HUMAN.H11MO.0.A,PBX3_HUMAN.HEK293.sem,0.698022033,HEK293,ENCFF583IKP,ENCFF285OXK
CBFB,ENSG00000067955,Q13951,PEBB_HUMAN.H11MO.0.C,PEBB_HUMAN.GM12878.sem,0.535036105,GM12878,ENCFF023CDP,ENCFF759OLD
CBFB,ENSG00000067955,Q13951,PEBB_HUMAN.H11MO.0.C,PEBB_HUMAN.HepG2.sem,0.659180817,HepG2,ENCFF404XOH,ENCFF897NME
CBFB,ENSG00000067955,Q13951,PEBB_HUMAN.H11MO.0.C,PEBB_HUMAN.K562.sem,0.526185931,K562,ENCFF829AHU,ENCFF274YGF
PKNOX1,ENSG00000160199,P55347,PKNX1_HUMAN.H11MO.0.B,PKNX1_HUMAN.GM12878.sem,0.173682493,GM12878,ENCFF322NNB,ENCFF759OLD
PKNOX1,ENSG00000160199,P55347,PKNX1_HUMAN.H11MO.0.B,PKNX1_HUMAN.K562.sem,0.146295944,K562,ENCFF740VPW,ENCFF274YGF
PKNOX1,ENSG00000160199,P55347,PKNX1_HUMAN.H11MO.0.B,PKNX1_HUMAN.MCF-7.sem,0.157326796,MCF-7,ENCFF737NUU,ENCFF835KCG
POU2F1,ENSG00000143190,P14859,PO2F1_HUMAN.H11MO.0.C,PO2F1_HUMAN.HepG2.sem,0.551137514,HepG2,ENCFF862PKO,ENCFF897NME
POU2F2,ENSG00000028277,P09086,PO2F2_HUMAN.H11MO.0.A,PO2F2_HUMAN.GM12878.sem,0.383588325,GM12878,ENCFF803HIP,ENCFF759OLD
POU5F1,ENSG00000204531,Q01860,PO5F1_HUMAN.H11MO.0.A,PO5F1_HUMAN.GM23338.sem,0.537184583,GM23338,ENCFF967EFL,ENCFF358LIO
POU5F1,ENSG00000204531,Q01860,PO5F1_HUMAN.H11MO.0.A,PO5F1_HUMAN.H1.sem,0.54149985,H1,ENCFF003PEE,ENCFF983UCL
POU5F1,ENSG00000204531,Q01860,PO5F1_HUMAN.H11MO.0.A,PO5F1_HUMAN.K562.sem,0.437801476,K562,ENCFF259JPA,ENCFF274YGF
PPARA,ENSG00000186951,Q07869,PPARA_HUMAN.H11MO.0.B,PPARA_HUMAN.SK-N-SH.sem,0.73469786,SK-N-SH,ENCFF464QAX,ENCFF752OZB
PPARG,ENSG00000132170,P37231,PPARG_HUMAN.H11MO.0.A,PPARG_HUMAN.HepG2.sem,0.548619263,HepG2,ENCFF712KOW,ENCFF897NME
PRDM1,ENSG00000057657,O75626,PRDM1_HUMAN.H11MO.0.A,PRDM1_HUMAN.HeLa-S3.sem,0.455758469,HeLa-S3,ENCFF083QTE,ENCFF049BHH
PRDM6,ENSG00000061455,Q9NQX0,PRDM6_HUMAN.H11MO.0.C,PRDM6_HUMAN.HEK293.sem,0.470049517,HEK293,ENCFF507BXZ,ENCFF285OXK
RELB,ENSG00000104856,Q01201,RELB_HUMAN.H11MO.0.C,RELB_HUMAN.GM12878.sem,0.58624147,GM12878,ENCFF936FAN,ENCFF759OLD
REL,ENSG00000162924,Q04864,REL_HUMAN.H11MO.0.B,REL_HUMAN.HepG2.sem,0.680645195,HepG2,ENCFF367AVM,ENCFF897NME
RFX3,ENSG00000080298,P48380,RFX3_HUMAN.H11MO.0.B,RFX3_HUMAN.HepG2.sem,0.205151134,HepG2,ENCFF332PUH,ENCFF897NME
RUNX1,ENSG00000159216,Q01196,RUNX1_HUMAN.H11MO.0.A,RUNX1_HUMAN.K562.sem,0.379634663,K562,ENCFF941JUQ,ENCFF274YGF
RUNX3,ENSG00000020633,Q13761,RUNX3_HUMAN.H11MO.0.A,RUNX3_HUMAN.GM12878.sem,0.571266829,GM12878,ENCFF857YLX,ENCFF759OLD
RXRB,ENSG00000204231,P28702,RXRB_HUMAN.H11MO.0.C,RXRB_HUMAN.HepG2.sem,0.650151948,HepG2,ENCFF731QER,ENCFF897NME
SIX1,ENSG00000126778,Q15475,SIX1_HUMAN.H11MO.0.A,SIX1_HUMAN.HepG2.sem,0.423595772,HepG2,ENCFF592IOO,ENCFF897NME
SMAD2,ENSG00000175387,Q15796,SMAD2_HUMAN.H11MO.0.A,SMAD2_HUMAN.K562.sem,0.851278197,K562,ENCFF103NZN,ENCFF274YGF
SMAD3,ENSG00000166949,P84022,SMAD3_HUMAN.H11MO.0.B,SMAD3_HUMAN.HepG2.sem,0.663953053,HepG2,ENCFF076TIF,ENCFF897NME
SMAD3,ENSG00000166949,P84022,SMAD3_HUMAN.H11MO.0.B,SMAD3_HUMAN.K562.sem,0.615685869,K562,ENCFF529QQI,ENCFF274YGF
SMAD3,ENSG00000166949,P84022,SMAD3_HUMAN.H11MO.0.B,SMAD3_HUMAN.WTC11.sem,0.644181866,WTC11,ENCFF318JBV,ENCFF854DSG
SMAD4,ENSG00000141646,Q13485,SMAD4_HUMAN.H11MO.0.B,SMAD4_HUMAN.WTC11.sem,0.566060215,WTC11,ENCFF442SVC,ENCFF854DSG
SMARCA5,ENSG00000153147,O60264,SMCA5_HUMAN.H11MO.0.C,SMCA5_HUMAN.K562.sem,0.640480815,K562,ENCFF970SIA,ENCFF274YGF
SNAI2,ENSG00000019549,O43623,SNAI2_HUMAN.H11MO.0.A,SNAI2_HUMAN.SK-N-SH.sem,0.672925047,SK-N-SH,ENCFF441UER,ENCFF752OZB
SOX5,ENSG00000134532,P35711,SOX5_HUMAN.H11MO.0.C,SOX5_HUMAN.HepG2.sem,0.62890372,HepG2,ENCFF190LZC,ENCFF897NME
SPI1,ENSG00000066336,P17947,SPI1_HUMAN.H11MO.0.A,SPI1_HUMAN.GM12878.sem,0.698919264,GM12878,ENCFF197ASC,ENCFF759OLD
SPI1,ENSG00000066336,P17947,SPI1_HUMAN.H11MO.0.A,SPI1_HUMAN.K562.sem,0.449294557,K562,ENCFF533RNU,ENCFF274YGF
SREBF1,ENSG00000072310,P36956,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN.GM12878.sem,0.677371968,GM12878,ENCFF392MTW,ENCFF759OLD
SREBF1,ENSG00000072310,P36956,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN.K562.sem,0.486164438,K562,ENCFF630LBW,ENCFF274YGF
SREBF1,ENSG00000072310,P36956,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN.MCF-7.sem,0.178081061,MCF-7,ENCFF791DFW,ENCFF835KCG
SREBF2,ENSG00000198911,Q12772,SRBP2_HUMAN.H11MO.0.B,SRBP2_HUMAN.A549.sem,0.104077655,A549,ENCFF330ZTB,ENCFF128ZVL
SREBF2,ENSG00000198911,Q12772,SRBP2_HUMAN.H11MO.0.B,SRBP2_HUMAN.GM12878.sem,0.209461168,GM12878,ENCFF993CDE,ENCFF759OLD
SRF,ENSG00000112658,P11831,SRF_HUMAN.H11MO.0.A,SRF_HUMAN.HepG2.sem,0.083342998,HepG2,ENCFF127VDE,ENCFF897NME
SRY,ENSG00000184895,Q05066,SRY_HUMAN.H11MO.0.B,SRY_HUMAN.HepG2.sem,0.812024301,HepG2,ENCFF925DOX,ENCFF897NME
STAT5A,ENSG00000126561,P42229,STA5A_HUMAN.H11MO.0.A,STA5A_HUMAN.GM12878.sem,0.670940431,GM12878,ENCFF119COY,ENCFF759OLD
STAT5B,ENSG00000173757,P51692,STA5B_HUMAN.H11MO.0.A,STA5B_HUMAN.HepG2.sem,0.731603548,HepG2,ENCFF415UIB,ENCFF897NME
STAT3,ENSG00000168610,P40763,STAT3_HUMAN.H11MO.0.A,STAT3_HUMAN.GM12878.sem,0.815120105,GM12878,ENCFF430WYI,ENCFF759OLD
STAT3,ENSG00000168610,P40763,STAT3_HUMAN.H11MO.0.A,STAT3_HUMAN.HeLa-S3.sem,0.481308089,HeLa-S3,ENCFF927LQC,ENCFF049BHH
STAT6,ENSG00000166888,P42226,STAT6_HUMAN.H11MO.0.B,STAT6_HUMAN.HepG2.sem,0.732377411,HepG2,ENCFF625LBD,ENCFF897NME
NR5A1,ENSG00000136931,Q13285,STF1_HUMAN.H11MO.0.B,STF1_HUMAN.HepG2.sem,0.362783412,HepG2,ENCFF031EMJ,ENCFF897NME
RBPJ,ENSG00000168214,Q06330,SUH_HUMAN.H11MO.0.A,SUH_HUMAN.HepG2.sem,0.726413219,HepG2,ENCFF595DEL,ENCFF897NME
TAF1,ENSG00000147133,P21675,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN.MCF-7.sem,0.73063995,MCF-7,ENCFF418WWV,ENCFF835KCG
TBP,ENSG00000112592,P20226,TBP_HUMAN.H11MO.0.A,TBP_HUMAN.HepG2.sem,0.296874902,HepG2,ENCFF887QFA,ENCFF897NME
TBX21,ENSG00000073861,Q9UL17,TBX21_HUMAN.H11MO.0.A,TBX21_HUMAN.GM12878.sem,0.585760277,GM12878,ENCFF578PIF,ENCFF759OLD
TCF7,ENSG00000081059,P36402,TCF7_HUMAN.H11MO.0.A,TCF7_HUMAN.HepG2.sem,0.440257813,HepG2,ENCFF371KMF,ENCFF897NME
TEAD1,ENSG00000187079,P28347,TEAD1_HUMAN.H11MO.0.A,TEAD1_HUMAN.HepG2.sem,0.534812996,HepG2,ENCFF909TSN,ENCFF897NME
TEAD4,ENSG00000197905,Q15561,TEAD4_HUMAN.H11MO.0.A,TEAD4_HUMAN.HepG2.sem,0.423661025,HepG2,ENCFF871FXT,ENCFF897NME
RELA,ENSG00000173039,Q04206,TF65_HUMAN.H11MO.0.A,TF65_HUMAN.HepG2.sem,0.857282225,HepG2,ENCFF335FKX,ENCFF897NME
TCF7L2,ENSG00000148737,Q9NQB0,TF7L2_HUMAN.H11MO.0.A,TF7L2_HUMAN.HepG2.sem,0.469962418,HepG2,ENCFF458NCB,ENCFF897NME
TFAP4,ENSG00000090447,Q01664,TFAP4_HUMAN.H11MO.0.A,TFAP4_HUMAN.HepG2.sem,0.301316395,HepG2,ENCFF945ZDJ,ENCFF897NME
TFDP1,ENSG00000198176,Q14186,TFDP1_HUMAN.H11MO.0.C,TFDP1_HUMAN.HepG2.sem,0.36402411,HepG2,ENCFF865WIO,ENCFF897NME
TFDP1,ENSG00000198176,Q14186,TFDP1_HUMAN.H11MO.0.C,TFDP1_HUMAN.K562.sem,0.253150089,K562,ENCFF728DOU,ENCFF274YGF
TCF3,ENSG00000071564,P15923,TFE2_HUMAN.H11MO.0.A,TFE2_HUMAN.GM12878.sem,0.419247313,GM12878,ENCFF441IMJ,ENCFF759OLD
TCF3,ENSG00000071564,P15923,TFE2_HUMAN.H11MO.0.A,TFE2_HUMAN.HepG2.sem,0.756325049,HepG2,ENCFF813CJO,ENCFF897NME
TCF3,ENSG00000071564,P15923,TFE2_HUMAN.H11MO.0.A,TFE2_HUMAN.K562.sem,0.34513651,K562,ENCFF974XFG,ENCFF274YGF
TFE3,ENSG00000068323,P19532,TFE3_HUMAN.H11MO.0.B,TFE3_HUMAN.HepG2.sem,0.371145756,HepG2,ENCFF780NMQ,ENCFF897NME
TFE3,ENSG00000068323,P19532,TFE3_HUMAN.H11MO.0.B,TFE3_HUMAN.K562.sem,0.085305908,K562,ENCFF342DXD,ENCFF274YGF
THRA,ENSG00000126351,P10827,THA_HUMAN.H11MO.0.C,THA_HUMAN.HepG2.sem,0.640336518,HepG2,ENCFF862KEA,ENCFF897NME
YY1,ENSG00000100811,P25490,TYY1_HUMAN.H11MO.0.A,TYY1_HUMAN.HepG2.sem,0.337271747,HepG2,ENCFF637BBW,ENCFF897NME
USF1,ENSG00000158773,P22415,USF1_HUMAN.H11MO.0.A,USF1_HUMAN.HepG2.sem,0.15634855,HepG2,ENCFF143IEG,ENCFF897NME
ZBTB14,ENSG00000198081,O43829,ZBT14_HUMAN.H11MO.0.C,ZBT14_HUMAN.HepG2.sem,0.275844426,HepG2,ENCFF471QTZ,ENCFF897NME
ZBTB48,ENSG00000204859,P10074,ZBT48_HUMAN.H11MO.0.C,ZBT48_HUMAN.HEK293.sem,0.412059951,HEK293,ENCFF633BJP,ENCFF285OXK
ZBTB7A,ENSG00000178951,O95365,ZBT7A_HUMAN.H11MO.0.A,ZBT7A_HUMAN.HepG2.sem,0.754922269,HepG2,ENCFF439DRT,ENCFF897NME
ZEB1,ENSG00000148516,P37275,ZEB1_HUMAN.H11MO.0.A,ZEB1_HUMAN.HepG2.sem,0.425683574,HepG2,ENCFF925NYR,ENCFF897NME
ZFX,ENSG00000005889,P17010,ZFX_HUMAN.H11MO.0.A,ZFX_HUMAN.HepG2.sem,0.842137835,HepG2,ENCFF329DCV,ENCFF897NME
ZNF281,ENSG00000162702,Q9Y2X9,ZN281_HUMAN.H11MO.0.A,ZN281_HUMAN.HepG2.sem,0.761747644,HepG2,ENCFF948PYK,ENCFF897NME
ZNF18,ENSG00000154957,P17022,ZNF18_HUMAN.H11MO.0.C,ZNF18_HUMAN.HEK293.sem,0.319535276,HEK293,ENCFF888BHA,ENCFF285OXK
ZNF18,ENSG00000154957,P17022,ZNF18_HUMAN.H11MO.0.C,ZNF18_HUMAN.HepG2.sem,0.613052253,HepG2,ENCFF832VFB,ENCFF897NME
